Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Commercial Paper (Amount Outstanding) (in Crore),Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),Direct Investment to India (US $ Million),Foreign Direct Investment By India (US $ Million),Net Portfolio Investment (US $ Million),Total Investment Inflows (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),External Commercial Borrowings Registrations (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End)
Dec-2021,166.2,138.8,143.3,1097.0,1106.0,350068.65,168.2,1350.52,2851.02,1500.51,-3735.72,-2385.21,18154.37,5549.0,39270.2,60329.77,-21059.57,60062.0,74.3
Nov-2021,166.7,128.0,143.7,1092.0,1101.0,388363.05,169.7,2192.25,3329.61,1137.37,-152.47,2039.78,18672.91,2399.0,31795.05,53025.07,-21230.02,37825.0,75.09
Oct-2021,165.5,135.0,140.7,1081.0,1090.0,379278.3,167.7,1015.88,2659.21,1643.33,-1953.39,-937.51,18805.15,1339.0,35727.73,53638.25,-17910.52,59449.23,74.79
Sep-2021,163.2,129.5,137.4,1067.0,1076.0,370982.1,164.0,2030.58,4276.38,2245.79,2588.85,4619.43,18950.0,4023.0,33814.61,56286.42,-22471.81,70821.73,74.26
Aug-2021,162.9,132.4,136.2,1066.0,1074.0,391504.85,163.9,5114.58,6003.55,888.97,2906.37,8020.95,19331.06,2847.0,33380.73,45092.86,-11712.13,44300.0,73.15
Jul-2021,162.5,131.5,135.0,1061.0,1070.0,414981.65,164.0,1552.1,2619.84,1067.73,-1617.79,-65.69,19598.51,3434.0,35512.82,46146.97,-10634.16,49300.0,74.39
Jun-2021,161.3,122.8,133.7,1057.0,1065.0,376117.85,162.6,354.15,2555.24,2201.09,1251.7,1605.85,19698.7,1485.0,32493.0,42098.26,-9605.27,84850.0,74.35
May-2021,160.4,115.1,132.9,1049.0,1057.0,388707.25,160.7,8801.57,10352.18,1550.61,966.46,9768.03,19876.3,738.0,32298.98,38834.64,-6535.66,50550.0,72.52
Apr-2021,157.8,126.1,132.0,1041.0,1049.0,374846.75,158.0,2398.37,4330.01,1931.64,-1816.09,582.28,20027.35,2723.0,30750.58,46044.08,-15293.5,9150.0,74.02
Mar-2021,156.8,145.6,129.9,1035.0,1043.0,364374.3,156.7,755.27,2066.52,1311.25,-791.6,-36.33,20473.08,9233.0,35256.6,48898.86,-13642.26,108412.0,73.5
Feb-2021,156.6,129.9,128.1,1037.0,1044.0,390852.95,156.9,441.62,1781.9,1340.28,1853.4,2295.02,22093.46,2577.0,27633.25,40748.65,-13115.4,80270.0,73.04
